authors,doi,loadDate,openAccess,pages,pii,publicationDate,sourceTitle,title,uri,volumeIssue
"Sebastian Jespersen Charlton, Valentin Flury, Geneviève Thon",10.1016/j.cell.2024.07.017,2024-08-01T00:00:00.000Z,True,,S0092867424007773,2024-08-01,Cell,The fork protection complex promotes parental histone recycling and epigenetic memory,https://www.sciencedirect.com/science/article/pii/S0092867424007773?dgcid=api_sd_search-api-endpoint,
"Jiawei Shao, Xinyuan Qiu, Mingqi Xie",10.1016/j.cell.2024.07.001,2024-07-31T00:00:00.000Z,True,,S0092867424007165,2024-07-31,Cell,Multi-layered computational gene networks by engineered tristate logics,https://www.sciencedirect.com/science/article/pii/S0092867424007165?dgcid=api_sd_search-api-endpoint,
"Huixin Xu, Peter Lotfy, Maria K. Lehtinen",10.1016/j.cell.2024.07.002,2024-07-31T00:00:00.000Z,True,,S0092867424007177,2024-07-31,Cell,The choroid plexus synergizes with immune cells during neuroinflammation,https://www.sciencedirect.com/science/article/pii/S0092867424007177?dgcid=api_sd_search-api-endpoint,
"Shirsha Saha, Basavraj Khanppnavar, Arun K. Shukla",10.1016/j.cell.2024.07.005,2024-07-31T00:00:00.000Z,True,,S0092867424007657,2024-07-31,Cell,Molecular mechanism of distinct chemokine engagement and functional divergence of the human Duffy antigen receptor,https://www.sciencedirect.com/science/article/pii/S0092867424007657?dgcid=api_sd_search-api-endpoint,
"Samuel E. Lacey, Andrea Graziadei, Gaia Pigino",10.1016/j.cell.2024.06.041,2024-07-26T00:00:00.000Z,True,,S0092867424007153,2024-07-26,Cell,Extensive structural rearrangement of intraflagellar transport trains underpins bidirectional cargo transport,https://www.sciencedirect.com/science/article/pii/S0092867424007153?dgcid=api_sd_search-api-endpoint,
"I. Sadaf Farooqi, Yong Xu",10.1016/j.cell.2024.07.011,2024-07-26T00:00:00.000Z,True,4129,S0092867424007712,2024-08-08,Cell,Translational potential of mouse models of human metabolic disease,https://www.sciencedirect.com/science/article/pii/S0092867424007712?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
Giles S. H. Yeo,10.1016/j.cell.2024.05.049,2024-07-25T00:00:00.000Z,False,3877,S0092867424005932,2024-07-25,Cell,Metabolism in the spotlight: Dr. Giles Yeo on the impact and challenges of science communication,https://www.sciencedirect.com/science/article/pii/S0092867424005932?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Christine M. Kusminski, Diego Perez-Tilve, Philipp E. Scherer",10.1016/j.cell.2024.06.003,2024-07-25T00:00:00.000Z,False,3829,S0092867424006433,2024-07-25,Cell,Transforming obesity: The advancement of multi-receptor drugs,https://www.sciencedirect.com/science/article/pii/S0092867424006433?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Jordan R. Barrett, Dimitra Pipini, Simon J. Draper",10.1016/j.cell.2024.06.015,2024-07-25T00:00:00.000Z,True,,S009286742400655X,2024-07-25,Cell,Analysis of the diverse antigenic landscape of the malaria protein RH5 identifies a potent vaccine-induced human public antibody clonotype,https://www.sciencedirect.com/science/article/pii/S009286742400655X?dgcid=api_sd_search-api-endpoint,
"Jiaqi Liu, Feng Shao",10.1016/j.cell.2024.06.025,2024-07-25T00:00:00.000Z,False,3885,S0092867424006998,2024-07-25,Cell,“Boosting” tumor immunity in elderly mice by hyperactivating dendritic cells,https://www.sciencedirect.com/science/article/pii/S0092867424006998?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
Sarah-Maria Fendt,10.1016/j.cell.2024.06.026,2024-07-25T00:00:00.000Z,False,3824,S0092867424007001,2024-07-25,Cell,100 years of the Warburg effect: A cancer metabolism endeavor,https://www.sciencedirect.com/science/article/pii/S0092867424007001?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"E. Dale Abel, Anna L. Gloyn, Daniel J. Drucker",10.1016/j.cell.2024.06.029,2024-07-25T00:00:00.000Z,False,3789,S0092867424007037,2024-07-25,Cell,Diabetes mellitus—Progress and opportunities in the evolving epidemic,https://www.sciencedirect.com/science/article/pii/S0092867424007037?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Jessica T. Y. Yue, Ameth N. Garrido, Tony K. T. Lam",10.1016/j.cell.2024.06.031,2024-07-25T00:00:00.000Z,False,3854,S0092867424007050,2024-07-25,Cell,A metabolic balance of GLP-1 and NMDA receptors in the brain,https://www.sciencedirect.com/science/article/pii/S0092867424007050?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Rachel N. Carmody, Krista Varady, Peter J. Turnbaugh",10.1016/j.cell.2024.06.032,2024-07-25T00:00:00.000Z,False,3857,S0092867424007062,2024-07-25,Cell,Digesting the complex metabolic effects of diet on the host and microbiome,https://www.sciencedirect.com/science/article/pii/S0092867424007062?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Juleen R. Zierath, Jolanda van der Velden, Zoltan P. Arany",10.1016/j.cell.2024.06.034,2024-07-25T00:00:00.000Z,False,3880,S0092867424007074,2024-07-25,Cell,Translating metabolic and cardiovascular research into effective treatments: What’s next?,https://www.sciencedirect.com/science/article/pii/S0092867424007074?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Heather Christofk, Christian Metallo, David James",10.1016/j.cell.2024.06.033,2024-07-25T00:00:00.000Z,False,3821,S0092867424007086,2024-07-25,Cell,Metabolic heterogeneity in humans,https://www.sciencedirect.com/science/article/pii/S0092867424007086?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Lawrence T. Wang, Andrew J. R. Cooper, Joshua Tan",10.1016/j.cell.2024.06.037,2024-07-25T00:00:00.000Z,True,,S0092867424007116,2024-07-25,Cell,Natural malaria infection elicits rare but potent neutralizing antibodies to the blood-stage antigen RH5,https://www.sciencedirect.com/science/article/pii/S0092867424007116?dgcid=api_sd_search-api-endpoint,
,10.1016/j.cell.2024.06.040,2024-07-25T00:00:00.000Z,False,3787,S0092867424007141,2024-07-25,Cell,50 years of metabolism research at <ce:italic>Cell</ce:italic>,https://www.sciencedirect.com/science/article/pii/S0092867424007141?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 15"
"Digvijay Singh, Neelesh Soni, Elizabeth Villa",10.1016/j.cell.2024.07.020,2024-08-09T00:00:00.000Z,True,,S0092867424007803,2024-08-09,Cell,The molecular architecture of the nuclear basket,https://www.sciencedirect.com/science/article/pii/S0092867424007803?dgcid=api_sd_search-api-endpoint,
"Mikolaj Ogrodnik, Juan Carlos Acosta, Marco Demaria",10.1016/j.cell.2024.05.059,2024-08-08T00:00:00.000Z,True,4150,S0092867424006408,2024-08-08,Cell,Guidelines for minimal information on cellular senescence experimentation <ce:italic>in vivo</ce:italic>,https://www.sciencedirect.com/science/article/pii/S0092867424006408?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Anthony R. Cillo, Carly Cardello, Dario A. A. Vignali",10.1016/j.cell.2024.06.036,2024-08-08T00:00:00.000Z,False,4373,S0092867424007104,2024-08-08,Cell,Blockade of LAG-3 and PD-1 leads to co-expression of cytotoxic and exhaustion gene modules in CD8<ce:sup loc=post>+</ce:sup> T cells to promote antitumor immunity,https://www.sciencedirect.com/science/article/pii/S0092867424007104?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Courtney T. Kureshi, Michael Dougan, Stephanie K. Dougan",10.1016/j.cell.2024.07.004,2024-08-08T00:00:00.000Z,False,4144,S0092867424007645,2024-08-08,Cell,Anti-LAG-3 boosts CD8 T cell effector function,https://www.sciencedirect.com/science/article/pii/S0092867424007645?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
